<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
CTG,20210219,37,37.5,36.1,37,12154600
CTG,20210218,36.8,37.05,36.3,36.8,10032300
CTG,20210217,36.4,36.8,35.85,36.8,9896400
CTG,20210209,34.45,35.45,34,35.4,8069900
CTG,20210208,34.05,36.1,33.9,34.05,12845300
CTG,20210205,34.95,35.8,34.75,35.8,8496700
CTG,20210204,34.8,35.05,34.25,34.7,9413200
CTG,20210203,34.5,35.25,34,34.9,10075600
CTG,20210202,31.8,34,31.7,33.9,7767300
CTG,20210201,31.8,32.6,31.5,32,12315100
CTG,20210129,28.8,32.4,28.8,30.5,14819400
CTG,20210128,30.75,31.9,30.35,30.35,13297400
CTG,20210127,34.2,35.15,32.5,32.6,9544300
CTG,20210126,36.5,36.55,34.5,34.5,8285900
CTG,20210125,37.3,37.55,36.5,36.8,6580500
CTG,20210122,36.95,38.3,36.7,37.6,11333200
CTG,20210121,36.1,37,35.5,37,7568900
CTG,20210120,36,36.4,33.8,35.65,11184000
CTG,20210119,38.5,38.6,35.9,35.9,14466500
CTG,20210118,39.6,39.85,38.6,38.6,7197000
CTG,20210115,39.5,40.1,39.3,39.5,11321800
CTG,20210114,39,39.35,38.5,39.15,8275700
CTG,20210113,38.65,39.45,38.5,38.65,9063900
CTG,20210112,38.7,38.9,38.1,38.5,9154200
CTG,20210111,38.9,39.6,38.6,38.7,10911700
CTG,20210108,39.5,39.5,38.5,38.7,8380100
CTG,20210107,38.5,39.65,38.4,38.85,10679600
CTG,20210106,36,37.85,35.7,37.85,15419900
CTG,20210105,35.4,35.95,35.2,35.4,9215200
CTG,20210104,35,36,34.9,35.5,14041500
CTG,20201231,34.45,34.75,34.35,34.55,4513160
CTG,20201230,34.35,34.95,34.15,34.35,5580940
CTG,20201229,34.3,34.55,34.1,34.15,5009810
CTG,20201228,34.3,35.2,34.2,34.3,6379650
CTG,20201225,34.7,34.7,33.3,34.7,8006910
CTG,20201224,34.5,34.8,32.2,33.95,8307780
CTG,20201223,35,35,34.4,34.5,5748780
CTG,20201222,35.1,35.4,34.75,34.8,6431410
CTG,20201221,34.65,35.45,34.5,34.85,7880530
CTG,20201218,34.3,34.6,34.1,34.6,5660480
CTG,20201217,34.9,35.1,34.1,34.1,14327750
CTG,20201216,34.6052,34.9996,34.6052,34.9009,7708110
CTG,20201215,34.9009,34.9009,34.1615,34.5066,10988240
CTG,20201214,34.8023,35.0981,34.408,34.9009,10847590
CTG,20201211,33.9151,34.3094,33.4714,34.2601,8093800
CTG,20201210,34.0136,34.408,33.5206,33.5207,10188750
CTG,20201209,34.0136,34.408,33.9643,34.0136,8148750
CTG,20201208,34.2108,34.2601,33.8164,34.0136,8604990
CTG,20201207,34.2108,34.6052,34.1122,34.2108,7312770
CTG,20201204,33.5207,34.408,33.4221,34.2108,18959210
CTG,20201203,33.3235,33.57,33.2249,33.3235,6256350
CTG,20201202,33.4221,33.7179,33.1263,33.2742,8657370
CTG,20201201,33.4221,33.5207,32.4362,33.4221,9713470
CTG,20201130,33.5699,33.7178,33.0277,33.0277,11002280
CTG,20201127,33.7178,34.0136,33.5206,33.5699,6224220
CTG,20201126,32.5348,33.7672,32.4855,33.5699,11623080
CTG,20201125,32.732,33.0277,32.4362,32.5348,10715800
CTG,20201124,32.6827,32.6827,32.0418,32.2883,8848310
CTG,20201123,32.7319,32.7319,32.1404,32.4362,7136380
CTG,20201120,32.8798,32.9784,32.4854,32.7319,7237750
CTG,20201119,32.2883,32.8305,32.0911,32.8305,13599610
CTG,20201118,32.0418,32.4362,31.8939,32.2883,7298690
CTG,20201117,31.7461,32.1897,31.5489,32.0418,8707180
CTG,20201116,31.9926,32.239,31.3517,31.4503,15774840
CTG,20201113,30.7601,31.5488,30.7601,31.4996,10712410
CTG,20201112,30.1686,30.8094,30.1686,30.5629,5609690
CTG,20201111,30.3165,30.4644,29.9714,30.07,6063870
CTG,20201110,30.7602,31.0067,30.1686,30.1686,8706210
CTG,20201109,30.2179,30.6615,30.2179,30.5137,7890820
CTG,20201106,29.8728,30.2179,29.7742,29.8235,5382100
