<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MSN,20210219,94.9,95.5,93.6,94.9,1419300
MSN,20210218,95.1,96,91,95.1,2207200
MSN,20210217,92,92,88.8,92,1142900
MSN,20210209,86,89.6,85.1,88.7,1448200
MSN,20210208,85.6,89.9,84,85.6,2260800
MSN,20210205,89.5,90,89.1,89.6,1209500
MSN,20210204,88,90.5,87.5,89.5,1415200
MSN,20210203,85.5,89,85.5,88.9,1539300
MSN,20210202,82,85,80,84,1927500
MSN,20210201,85.9,88.3,81,82,1792200
MSN,20210129,80.5,91,80.5,85.5,2838500
MSN,20210128,85.3,89.4,85.3,85.3,3816800
MSN,20210127,94.5,94.8,90.2,91.7,2243700
MSN,20210126,98.2,98.2,91.3,95.5,2475200
MSN,20210125,95,98,94,97,3869900
MSN,20210122,92,95.2,91,93.3,3060300
MSN,20210121,91.5,92.1,89.4,91.5,2180900
MSN,20210120,91.5,91.8,86,90.9,2314800
MSN,20210119,95.8,95.8,88.5,90.9,2416600
MSN,20210118,95,98.1,94.9,95.1,3740700
MSN,20210115,93,93.4,92.5,93,2144900
MSN,20210114,93.2,93.3,91.7,92.3,1447400
MSN,20210113,94.2,94.3,92.7,93.3,2553600
MSN,20210112,94.1,94.3,93.1,94,1830900
MSN,20210111,93.1,95.5,93.2,94.1,2553900
MSN,20210108,93.1,94.4,92,93.1,263960
MSN,20210107,88.3,92.5,88.3,92,3028500
MSN,20210106,89.3,91,88,88.3,2344400
MSN,20210105,89,90,88.1,89.3,1274800
MSN,20210104,91,91,88.9,88.9,1915700
MSN,20201231,83,89.1,83,88.9,3806160
MSN,20201230,83.9,84.2,82.6,83.5,959720
MSN,20201229,84,84,83,83.2,1440210
MSN,20201228,83,83.2,82.1,82.4,553150
MSN,20201225,82.5,83.1,82.4,82.5,598590
MSN,20201224,82.8,83,81.8,82.7,638900
MSN,20201223,82.7,84.3,82.6,82.8,910150
MSN,20201222,82.8,84,82.5,82.8,805250
MSN,20201221,85,85,83.4,83.8,827020
MSN,20201218,84.1,84.3,83.7,84.1,1417470
MSN,20201217,83.5,84.3,82.8,84,1179730
MSN,20201216,83.0039,83.5968,82.9051,83.498,648540
MSN,20201215,83.498,83.7944,82.9051,83.498,935010
MSN,20201214,83.6956,84.0909,82.9051,83.498,1079350
MSN,20201211,82.9051,83.5968,82.2134,83.498,791100
MSN,20201210,82.9052,84.3874,82.6087,82.9051,1432910
MSN,20201209,84.4862,84.6838,83.9921,84.3874,840910
MSN,20201208,85.079,85.3755,84.2885,84.4862,855880
MSN,20201207,85.4743,86.0672,84.4861,84.9802,825210
MSN,20201204,83.004,86.4625,82.5099,84.9802,1978040
MSN,20201203,82.3122,83.0039,81.5217,82.4111,542070
MSN,20201202,82.0158,83.0039,81.0277,82.2134,741130
MSN,20201201,82.0158,82.0158,79.5455,82.0158,1051590
MSN,20201130,81.1265,82.5099,80.7312,81.0277,964680
MSN,20201127,82.7075,82.7075,81.8182,82.7075,420570
MSN,20201126,80.7312,82.9051,80.6324,82.7075,510660
MSN,20201125,81.0277,82.0158,81.0277,81.3241,686650
MSN,20201124,82.1146,82.1146,79.0514,81.0277,679550
MSN,20201123,81.0277,82.4111,81.0277,82.1146,871370
MSN,20201120,80.7313,82.9052,80.1384,81.0277,1166780
MSN,20201119,82.0158,82.4111,80.0395,81.0277,1205410
MSN,20201118,84.0909,84.0909,81.7194,81.917,985490
MSN,20201117,83.0039,84.8814,82.8063,83.9921,813710
MSN,20201116,88.4387,89.0316,82.9051,82.9051,2454980
MSN,20201113,91.6007,91.6007,88.8339,89.0316,1094470
MSN,20201112,94.3676,94.3676,91.9961,91.996,484080
MSN,20201111,92.589,94.2688,90.9091,94.2688,2025450
MSN,20201110,94.8617,96.8379,93.7747,94.2688,3489650
MSN,20201109,88.9328,94.4664,88.7352,94.4664,2470010
