<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VIC,20210219,109,109.5,107,109,1433200
VIC,20210218,110,110,106.1,110,1434400
VIC,20210217,108,108,106.2,108,1253600
VIC,20210209,106.2,106.5,101.5,106.2,1758000
VIC,20210208,101,107.8,101,101,3422500
VIC,20210205,105,107.5,105,107.5,922900
VIC,20210204,107.4,107.5,102,105,1022400
VIC,20210203,105,108,105,107.5,1698900
VIC,20210202,99,105.9,99,105.9,1771200
VIC,20210201,99,103,98.8,99,1340000
VIC,20210129,92.5,99.5,92.5,99.4,1692900
VIC,20210128,94.3,96,93,93,1742900
VIC,20210127,101.5,103,99.5,100,1488900
VIC,20210126,104.8,105,99.6,101.5,1028600
VIC,20210125,105,105.8,104.1,104.8,827300
VIC,20210122,105.1,106.5,105,105,1094200
VIC,20210121,105.1,105.2,103,105.1,1564600
VIC,20210120,103,105,102.5,103.3,1875500
VIC,20210119,110.3,110.3,102.6,102.7,1367600
VIC,20210118,112,112.1,110.1,110.3,826900
VIC,20210115,111.4,112.2,109.8,111.2,1238000
VIC,20210114,111.5,112.3,110,110.4,1439100
VIC,20210113,114.4,114.6,111.1,111.1,1237900
VIC,20210112,116,116,113.7,114.4,981100
VIC,20210111,112.8,114.6,112.8,113.8,1536700
VIC,20210108,110.1,112.7,110.1,111.8,1348700
VIC,20210107,110.4,111,109,110.1,862300
VIC,20210106,110,110.5,108.9,110.2,1283000
VIC,20210105,107.2,109.9,107.2,109.7,1192200
VIC,20210104,108.5,109,106.5,108,991100
VIC,20201231,108.5,109.3,105.5,108.2,656040
VIC,20201230,108.5,109.6,106.7,108.5,1528950
VIC,20201229,106.1,106.6,105.8,106.5,612360
VIC,20201228,105.9,106.6,105.4,105.9,711710
VIC,20201225,105.7,106.4,105,105.9,370300
VIC,20201224,107,107,104,105.7,831440
VIC,20201223,105.7,107,105.4,105.7,701430
VIC,20201222,106,107.5,105.3,105.7,518320
VIC,20201221,105.5,106.4,104.9,106.4,587100
VIC,20201218,104.7,106.1,104.5,104.7,1350780
VIC,20201217,107,107,104.6,104.7,1352580
VIC,20201216,106.8,107.1,105.9,107,756200
VIC,20201215,108.9,108.9,106.7,107,1205700
VIC,20201214,106.7,108.9,105.5,108.9,1122380
VIC,20201211,104.9,106.8,104.9,106.8,569360
VIC,20201210,106,107,104.9,104.9,979550
VIC,20201209,105,106,104.4,106,789790
VIC,20201208,105.8,105.8,104.8,105,747280
VIC,20201207,106,106,105.1,105.8,678660
VIC,20201204,105.8,106.5,104.5,105.8,797060
VIC,20201203,105,105.8,104.3,105.8,731750
VIC,20201202,104.9,105.5,104.2,105,497910
VIC,20201201,105,105,102.8,105,953230
VIC,20201130,105.2,105.5,103.8,103.9,1596840
VIC,20201127,106,106.1,104.8,105.2,720830
VIC,20201126,105,106.2,104.5,106.1,545450
VIC,20201125,105.6,106.2,104.1,105.6,1222490
VIC,20201124,103.9,105,103.1,104,812220
VIC,20201123,104,105.1,103.1,103.8,735650
VIC,20201120,104.5,104.5,103.4,103.8,533840
VIC,20201119,104.8,104.8,103,104,1192700
VIC,20201118,106,106,103,104.9,751270
VIC,20201117,103,106,102.2,106,862320
