<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VNM,20210219,108,108.3,107.1,108,2696500
VNM,20210218,109,109,107.5,109,2847400
VNM,20210217,108.7,108.9,107.3,108.7,2872300
VNM,20210209,108,108.9,104.9,108,1931700
VNM,20210208,105.3,109.6,103.8,105.3,4331600
VNM,20210205,108.6,110,108.6,109.6,2231200
VNM,20210204,109.7,109.7,107,108.8,1896800
VNM,20210203,106.4,109.7,106.4,109.7,3056500
VNM,20210202,102.3,107,102.3,106.4,3350900
VNM,20210201,103,105.2,102,102.7,2934800
VNM,20210129,96,102.8,96,102.8,4140500
VNM,20210128,100,101.9,96.1,96.1,4565600
VNM,20210127,106,106.8,102.5,103.3,3153800
VNM,20210126,108.1,108.5,105,106.7,2596900
VNM,20210125,108.9,109.7,108,108.2,2554800
VNM,20210122,110.2,110.8,108.7,108.7,2429000
VNM,20210121,110.3,110.7,108.8,110.3,2531200
VNM,20210120,108.8,109.5,106,109,3363700
VNM,20210119,113.3,113.3,107,107.7,3668300
VNM,20210118,114.2,115.1,113.3,113.3,2624000
VNM,20210115,113.5,115.3,113.1,113.9,2125700
VNM,20210114,114.4,114.4,112.6,113.1,3680400
VNM,20210113,116.3,117.2,114.2,114.5,2521600
VNM,20210112,116.5,116.7,115.4,116.3,2344900
VNM,20210111,112.5,116,112.5,115.9,4603900
VNM,20210108,111.5,112.9,110.9,112,3323000
VNM,20210107,110,110.8,109.8,110.4,2453000
VNM,20210106,111,111.3,109.8,109.8,2823100
VNM,20210105,108.9,112,108.4,110.8,4013900
VNM,20210104,109.7,109.8,109,109.3,2299600
VNM,20201231,108.0064,108.8982,107.8082,107.8082,993810
VNM,20201230,107.8081,109.1954,107.61,107.8082,1856600
VNM,20201229,108.0064,108.4027,107.61,108.2045,1299700
VNM,20201228,108.1054,108.6999,107.3127,107.7091,2305300
VNM,20201225,107.8082,108.1055,107.1146,108.0063,1755510
VNM,20201224,109.1954,109.4927,107.0155,107.7091,2511360
VNM,20201223,109.1954,110.3844,108.8981,109.1954,2432590
VNM,20201222,109.889,109.889,108.799,108.8981,2266760
VNM,20201221,109.3936,110.3845,109.1954,109.9881,2341080
VNM,20201218,109.4927,109.9881,108.9972,109.3936,3342900
VNM,20201217,109.9881,109.9881,109.2945,109.3936,2951870
VNM,20201216,110.1863,111.2763,109.6909,110.5826,2106480
VNM,20201215,111.9698,112.2671,109.7899,110.1863,4572910
VNM,20201214,111.7717,112.3662,111.3753,112.3662,2535300
VNM,20201211,110.979,111.7717,110.7808,111.5735,2297940
VNM,20201210,109.2945,112.8617,109.2945,110.979,6077770
VNM,20201209,108.9972,109.0963,108.3036,108.7,1701940
VNM,20201208,109.0963,109.2945,108.0063,108.2045,1468350
VNM,20201207,108.0063,109.889,107.8081,108.9972,1970400
VNM,20201204,108.5018,108.7,107.8082,108.0063,1571130
VNM,20201203,108.0063,108.8981,107.8081,108.5018,1108730
VNM,20201202,108.6009,108.7991,107.7091,108.0063,1332460
VNM,20201201,108.6999,108.799,106.2227,108.7,2493230
VNM,20201130,108.799,108.9972,107.0154,107.2136,2687040
VNM,20201127,108.8981,108.8981,107.709,108.799,2823860
VNM,20201126,109.8891,109.8891,108.3036,108.8981,1490270
VNM,20201125,109.4927,109.9881,108.1055,109.4927,2190900
VNM,20201124,109.5918,109.8891,108.0064,108.6009,1937130
VNM,20201123,109.9881,110.2854,108.799,109.5918,2104330
VNM,20201120,108.8982,110.4836,108.1055,109.889,2801420
VNM,20201119,108.4027,108.7,108.0063,108.7,3140680
VNM,20201118,107.0155,108.5018,106.8173,108.4027,3396750
VNM,20201117,106.2228,106.7182,106.0246,106.6191,1648330
VNM,20201116,106.52,107.709,106.0245,106.1237,2571160
VNM,20201113,106.0246,106.421,106.0246,106.4209,1089500
VNM,20201112,106.52,106.52,105.7273,106.0246,1074590
VNM,20201111,106.9164,106.9164,105.0337,106.52,2429710
VNM,20201110,108.1055,108.2046,106.5201,106.52,2297200
VNM,20201109,108.0064,108.4027,107.5109,107.8082,1066640
VNM,20201106,108.2046,108.4027,107.0155,107.8082,1011020
VNM,20201105,107.0155,108.4027,107.0155,107.8082,1891270
VNM,20201104,107.0155,108.4027,106.4209,107.0155,1342780
VNM,20201103,106.6191,107.0155,106.0246,106.7182,870230
VNM,20201102,106.0246,107.0155,106.0246,106.6191,867340
VNM,20201030,106.0246,107.0155,104.3401,107.0155,2683620
VNM,20201029,105.5291,106.2227,104.6373,105.9255,1723240
VNM,20201028,108.0064,108.0064,105.5292,106.4209,2609180
VNM,20201027,108.9973,109.9881,108.1055,108.6009,1721090
VNM,20201026,109.9881,111.4744,108.9972,109.4927,2313520
VNM,20201023,106.52,108.9972,106.1237,108.9972,2946790
VNM,20201022,105.8264,105.8264,104.1419,105.7273,2422540
VNM,20201021,105.5292,105.9255,105.0337,105.43,805550
VNM,20201020,106.3218,106.6191,105.0337,105.2319,2150990
VNM,20201019,106.4209,107.3127,106.4209,106.7182,1617740
VNM,20201016,106.52,107.0154,105.9255,106.4209,1637740
VNM,20201015,106.8173,106.9163,106.0245,106.52,1854560
VNM,20201014,106.1237,106.7182,105.8264,106.4209,1299160
VNM,20201013,106.0246,107.0155,105.9255,106.1237,858550
VNM,20201012,105.8264,106.8173,105.6282,106.0246,1209250
VNM,20201009,106.0246,106.1237,105.6282,105.7273,980970
VNM,20201008,106.9164,106.9164,105.8264,105.9255,1325810
VNM,20201007,105.8264,107.0155,105.5292,107.0155,2153700
VNM,20201006,106.3218,107.0154,105.5291,106.0246,2044710
VNM,20201005,107.0155,108.0064,106.0246,106.3218,1427600
VNM,20201002,108.5018,109.0963,105.7273,107.0155,2864220
VNM,20201001,108.0064,108.4027,106.9164,108.3036,1702500
VNM,20200930,108.9972,110.3844,107.5109,107.9073,1432380
VNM,20200929,108.9457,111.5207,106.9648,108.2045,5191680
VNM,20200928,104.0469,104.5346,103.4779,104.2907,2169790
VNM,20200925,103.8843,104.0469,103.6405,103.803,1011140
VNM,20200924,104.2094,104.7784,103.4779,103.4779,1506610
VNM,20200923,105.5914,105.8352,104.9411,105.0223,1042800
VNM,20200922,105.7539,105.8352,104.4533,105.3475,1244610
VNM,20200921,102.7463,105.8352,102.7463,105.7539,2614310
VNM,20200918,101.2831,102.7462,100.9579,102.7463,1224030
VNM,20200917,100.7954,102.2586,100.7954,101.2018,1376570
VNM,20200916,101.6083,101.6083,100.7141,100.958,724510
VNM,20200915,100.958,101.527,100.7954,101.4457,882030
VNM,20200914,101.1205,101.6082,100.7954,100.958,1194170
VNM,20200911,100.958,101.3644,100.389,100.6328,956670
VNM,20200910,101.6082,101.9334,101.1205,101.3644,848330
VNM,20200909,99.5761,100.7141,98.7633,100.6328,1621920
VNM,20200908,102.3398,103.5591,100.7141,100.958,1809570
VNM,20200907,101.6083,104.372,101.527,102.4211,2178380
VNM,20200904,100.5515,101.6083,100.0638,101.6083,1711980
VNM,20200903,100.389,101.4457,100.389,101.3644,2016680
VNM,20200901,98.3568,100.1451,97.7065,100.1451,1448060
VNM,20200831,97.7878,98.3568,97.1375,98.3568,1634090
VNM,20200828,95.7556,97.5439,95.2679,96.9749,1341270
VNM,20200827,95.5117,95.8369,95.1053,95.2679,799570
VNM,20200826,95.9182,96.0808,95.0241,95.1866,1922780
VNM,20200825,95.1053,95.8369,94.9428,95.3492,1693030
VNM,20200824,94.6989,95.593,94.2924,94.6989,1526860
VNM,20200821,93.8861,94.2925,93.5609,93.9673,884990
VNM,20200820,93.7235,94.1299,93.1545,93.6422,1254280
VNM,20200819,94.2924,94.2924,93.3983,93.7235,981840
VNM,20200818,95.1053,95.4304,93.9673,93.9673,604570
VNM,20200817,95.1054,95.8369,93.7235,95.1053,906890
VNM,20200814,94.7802,95.9182,94.455,94.8615,1623690
VNM,20200813,94.2924,94.7802,94.2112,94.6176,1238980
VNM,20200812,93.0732,94.2112,93.0732,93.9673,1451960
VNM,20200811,93.3983,93.4796,92.6668,93.0732,852250
VNM,20200810,94.2924,94.6989,93.0731,93.0732,1412680
VNM,20200807,93.4796,94.2924,93.317,93.886,1148200
VNM,20200806,91.2036,94.2925,91.1223,93.317,1360570
VNM,20200805,90.6346,92.3416,89.4153,91.1223,888080
VNM,20200804,90.2282,90.472,89.334,90.472,765170
VNM,20200803,87.7896,89.4153,87.5457,88.765,860190
VNM,20200731,86.9767,88.765,86.5702,86.9767,839830
VNM,20200730,87.7895,89.0088,86.8141,88.6024,1028620
VNM,20200729,88.196,88.5211,85.7574,86.1638,1497450
VNM,20200728,84.5381,89.334,84.5381,89.334,1390810
VNM,20200727,87.0579,87.4644,84.0503,84.0504,2553780
VNM,20200724,92.8293,92.8293,88.6024,90.3094,2313270
VNM,20200723,92.8293,93.1544,92.2603,92.8293,766500
VNM,20200722,93.8048,94.2925,92.7481,92.748,1051320
VNM,20200721,94.0486,94.5363,93.1544,94.2925,1618780
VNM,20200720,94.0486,94.8615,93.8861,94.0486,474700
VNM,20200717,94.8615,95.4305,94.6989,94.9428,583510
VNM,20200716,94.8615,95.5118,94.4551,95.5118,1112460
VNM,20200715,94.2925,95.1054,94.2925,94.2925,1015000
VNM,20200714,92.8293,93.6421,92.5854,93.6422,731170
VNM,20200713,93.7235,94.1299,92.9106,93.317,943850
VNM,20200710,94.2925,94.6176,93.7235,93.7235,677180
VNM,20200709,93.886,94.8614,93.886,94.2112,1560410
VNM,20200708,94.2925,94.2925,93.8861,93.886,551310
VNM,20200707,94.6989,95.1866,94.2925,94.2925,1024960
VNM,20200706,93.0731,94.7802,92.9106,94.6989,1319980
VNM,20200703,91.8539,92.8293,91.6913,92.748,729290
VNM,20200702,93.3171,93.3984,91.8539,91.8539,720480
VNM,20200701,91.61,93.4796,91.041,93.2358,450020
VNM,20200630,91.8539,92.2603,90.9597,91.61,797960
VNM,20200629,92.6678,92.9117,89.4976,90.9597,1519040
VNM,20200626,93.5547,93.9558,92.5918,92.993,495750
VNM,20200625,93.4744,93.4744,92.5116,93.3942,572770
VNM,20200624,93.3941,94.9989,93.3941,93.9558,750960
VNM,20200623,93.0732,93.3942,92.7523,93.0732,1063470
VNM,20200622,92.2709,92.993,92.1104,92.5918,867620
VNM,20200619,92.4313,93.4744,92.2708,92.2709,1251600
VNM,20200618,92.7523,93.5547,91.5488,92.4313,523160
VNM,20200617,93.8756,94.0361,92.5918,92.7523,513570
VNM,20200616,91.9499,94.2768,91.4685,93.8756,844740
VNM,20200615,96.2826,97.0047,89.8638,89.8638,2058870
VNM,20200612,94.678,96.1222,91.95,94.6779,2394330
VNM,20200611,98.6897,100.2944,97.085,98.1281,1098260
VNM,20200610,101.0968,101.0968,98.5292,98.6897,1242180
VNM,20200609,98.7699,101.0967,98.7699,100.2944,1704320
VNM,20200608,98.5293,99.0107,95.5606,98.5292,1419750
VNM,20200605,94.5175,95.6408,93.6349,95.6408,1076470
VNM,20200604,93.8755,94.5977,93.8755,94.5175,735420
VNM,20200603,93.2337,94.7581,92.7523,93.5546,1322080
VNM,20200602,93.1535,93.8756,92.8326,93.0732,891910
VNM,20200601,92.3511,93.8756,92.3511,93.1535,1047020
VNM,20200529,91.0673,92.4313,91.0673,92.2709,1203680
VNM,20200528,92.2709,93.0733,92.1104,92.1104,1004500
VNM,20200527,94.4372,94.5175,92.2709,92.2709,1108350
VNM,20200526,94.6779,94.6779,92.4313,94.357,983170
VNM,20200525,91.8696,94.3569,91.5487,94.357,1581860
VNM,20200522,91.7895,92.1104,91.0674,91.7894,1083060
VNM,20200521,91.4685,92.2709,91.0673,92.2709,1582090
VNM,20200520,90.265,91.7894,90.265,91.4685,1199680
VNM,20200519,91.3081,91.7895,90.1045,90.3452,1432400
VNM,20200518,88.901,89.7034,87.4568,89.1417,898370
VNM,20200515,90.6662,91.0674,87.7777,88.901,2320230
VNM,20200514,90.3452,91.3883,90.265,90.6662,1397750
VNM,20200513,90.8267,92.2709,88.2591,91.2278,2507730
VNM,20200512,87.0556,91.7895,86.173,91.3883,2944650
VNM,20200511,84.2473,87.0555,84.0066,87.0556,1792200
VNM,20200508,83.8461,86.3334,83.4449,84.2473,3184170
VNM,20200507,81.5193,83.2845,81.4391,82.9635,1583260
VNM,20200506,80.7972,81.4391,79.9948,81.4391,1105020
VNM,20200505,79.2727,80.9577,78.6308,80.6367,1163800
VNM,20200504,77.8285,79.4332,77.8285,78.3099,1235970
VNM,20200429,79.4332,80.1553,79.4332,79.4332,1769090
VNM,20200428,82.4821,82.6426,79.9948,80.6367,1401520
VNM,20200427,85.4508,85.4508,82.4821,82.4821,1950560
VNM,20200424,79.6738,82.4821,78.2296,82.4821,3624460
VNM,20200423,79.1122,79.1122,76.9458,77.1063,1443180
VNM,20200422,77.1064,78.3099,76.8656,78.2296,1085950
VNM,20200421,80.2355,80.2355,76.8656,77.668,2129360
VNM,20200420,80.2355,81.1984,80.2355,80.2355,1471680
VNM,20200417,79.6739,80.3158,79.4332,79.6739,1767310
VNM,20200416,79.6738,79.8343,79.3529,79.6739,1155660
VNM,20200415,79.9948,79.9948,79.5937,79.5936,886130
VNM,20200414,79.8343,79.9948,79.1925,79.4332,1059560
VNM,20200413,79.9146,80.0751,78.8715,79.5134,1127670
VNM,20200410,80.2356,80.2356,78.7111,79.9146,1111470
VNM,20200409,80.1553,80.9577,79.5937,80.3158,1220550
VNM,20200408,78.6308,79.4332,77.4273,79.4332,904920
VNM,20200407,77.4273,79.4332,76.8657,79.032,2273090
VNM,20200406,77.4273,77.5076,76.2238,77.1866,1840550
VNM,20200403,75.8226,76.6249,75.4214,76.2238,1934430
VNM,20200401,73.0143,75.4214,73.0143,75.4214,1155730
VNM,20200331,74.2179,74.94,72.212,73.0143,1293290
VNM,20200330,72.2119,74.2178,71.4096,73.1748,1559900
VNM,20200327,74.619,76.4645,73.8167,75.5016,2755950
VNM,20200326,74.0574,76.2238,71.2492,75.4214,2556450
VNM,20200325,72.6934,73.8969,72.2922,73.8167,2993020
VNM,20200324,67.1571,70.8479,67.1571,69.0828,1739530
VNM,20200323,71.4899,71.4899,67.1572,67.1571,2187710
VNM,20200320,71.4096,73.255,71.4096,72.212,2316660
VNM,20200319,74.6191,75.4214,71.4097,71.4096,2774560
VNM,20200318,77.1866,78.4703,76.2237,76.2238,1322150
VNM,20200317,77.0261,77.3471,76.2238,77.0261,1788240
VNM,20200316,79.5134,79.5936,77.4273,77.8285,1087080
